"source_folder","source_file","100%","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","Average Content Size","Average Response Time","Failure Count","Failures/s","Max Response Time","Median Response Time","Min Response Time","Name","Request Count","Requests/s","Type"
"mixed_large_5_run2","mixed_large_5_run2_stats.csv","1100","940","960","970","980","1000","1000","1100","1100","1100","1100","56.0","952.2418459449467","0","0.0","1062.7224000054412","940","900.6544000003487","POST /auth/login","37","0.19964110096187815","POST"
"mixed_large_5_run2","mixed_large_5_run2_stats.csv","3300","3100","3200","3200","3300","3300","3300","3300","3300","3300","3300","65.0","3116.5964199986774","0","0.0","3337.7656000084244","3100","2902.4267999920994","POST /auth/signup [setup]","5","0.026978527157010563","POST"
"mixed_large_5_run2","mixed_large_5_run2_stats.csv","2800","2600","2700","2700","2700","2800","2800","2800","2800","2800","2800","1129.0","2541.2428291723095","0","0.0","2824.812300008489","2500","2293.901299999561","POST /user/[email]/description","24","0.1294969303536507","POST"
"mixed_large_5_run2","mixed_large_5_run2_stats.csv","6500","5800","5900","5900","6000","6200","6200","6300","6500","6500","6500","1126.0625","5691.462460001276","0","0.0","6481.505600007949","5800","3806.535600015195","POST /user/[email]/profile-photo","80","0.431656434512169","POST"
"mixed_large_5_run2","mixed_large_5_run2_stats.csv","6500","2600","5500","5700","5800","5900","6000","6200","6300","6500","6500","1047.2323232323233","3117.518278283909","0","0.0","6481.505600007949","2500","695.3378999896813","Aggregated","198","1.0683496754176183",""
"mixed_large_5_run3","mixed_large_5_run3_stats.csv","5700","5700","5700","5700","5700","5700","5700","5700","5700","5700","5700","65.0","5709.395500016399","0","0.0","5709.395500016399","5709.395500016399","5709.395500016399","DELETE /user/[email] [cleanup]","1","0.005392109411643723","DELETE"
"mixed_large_5_run3","mixed_large_5_run3_stats.csv","950","800","810","820","830","860","870","940","950","950","950","1794.861111111111","798.8457291661083","0","0.0","947.4476000177674","790","682.41969999508","GET /user/[email]","72","0.3882318776383481","GET"
"mixed_large_5_run3","mixed_large_5_run3_stats.csv","1100","960","970","980","990","1000","1100","1100","1100","1100","1100","56.0","968.0764765938139","0","0.0","1075.8669000060763","960","896.9639000133611","POST /auth/login","47","0.253429142347255","POST"
"mixed_large_5_run3","mixed_large_5_run3_stats.csv","3300","3000","3100","3100","3300","3300","3300","3300","3300","3300","3300","65.0","3037.1876399964094","0","0.0","3257.169399992563","3000","2822.100799996406","POST /auth/signup [setup]","5","0.02696054705821862","POST"
"mixed_large_5_run3","mixed_large_5_run3_stats.csv","3000","2700","2700","2700","2700","2800","3000","3000","3000","3000","3000","1129.0","2624.7914228571713","0","0.0","3008.5086000035517","2700","2203.4331999893766","POST /user/[email]/description","35","0.18872382940753032","POST"
"mixed_large_5_run3","mixed_large_5_run3_stats.csv","6800","5900","6000","6100","6100","6300","6400","6600","6800","6800","6800","1126.0819672131147","5801.45675737886","0","0.0","6765.838400024222","5900","3912.7125999948476","POST /user/[email]/profile-photo","61","0.32891867411026715","POST"
"mixed_large_5_run3","mixed_large_5_run3_stats.csv","6800","1000","2700","5500","5800","6000","6100","6400","6500","6800","6800","1088.0452488687783","2577.684989140176","0","0.0","6765.838400024222","1000","682.41969999508","Aggregated","221","1.191656179973263",""
"mixed_small_10_run1","mixed_small_10_run1_stats.csv","6200","6200","6200","6200","6200","6200","6200","6200","6200","6200","6200","65.0","6249.084800016135","0","0.0","6249.084800016135","6249.084800016135","6249.084800016135","DELETE /user/[email] [cleanup]","1","0.005376455875482298","DELETE"
"mixed_small_10_run1","mixed_small_10_run1_stats.csv","1100","810","840","850","860","890","940","980","1100","1100","1100","1009.0635838150289","818.5201815034753","0","0.0","1075.754399993457","810","729.358400014462","GET /user/[email]","173","0.9301268664584376","GET"
"mixed_small_10_run1","mixed_small_10_run1_stats.csv","1200","1000","1000","1000","1100","1100","1100","1200","1200","1200","1200","56.0","1007.8395915790584","0","0.0","1217.8213000006508","1000","913.1525000266265","POST /auth/login","95","0.5107633081708183","POST"
"mixed_small_10_run1","mixed_small_10_run1_stats.csv","3500","3200","3300","3300","3500","3500","3500","3500","3500","3500","3500","65.0","3101.13198000181","0","0.0","3456.7350999859627","3100","2709.978700004285","POST /auth/signup [setup]","10","0.05376455875482298","POST"
"mixed_small_10_run1","mixed_small_10_run1_stats.csv","3400","2800","2800","2900","2900","3000","3000","3300","3300","3400","3400","1129.0","2749.992789733383","0","0.0","3382.0301000087056","2800","2249.163000000408","POST /user/[email]/description","263","1.4140078952518444","POST"
"mixed_small_10_run1","mixed_small_10_run1_stats.csv","6200","2400","2700","2800","2800","2900","3000","3300","3300","6200","6200","881.0516605166051","1841.0650570111175","0","0.0","6249.084800016135","2300","729.358400014462","Aggregated","542","2.9140390845114057",""
"mixed_small_10_run2","mixed_small_10_run2_stats.csv","6300","6100","6100","6300","6300","6300","6300","6300","6300","6300","6300","65.0","6140.288533342148","0","0.0","6308.436200022697","6100","5973.839200014481","DELETE /user/[email] [cleanup]","3","0.01612584157027892","DELETE"
"mixed_small_10_run2","mixed_small_10_run2_stats.csv","1100","810","850","870","890","920","950","980","1000","1100","1100","991.6385542168674","826.2987981935407","0","0.0","1113.8772999984212","810","698.4393000020646","GET /user/[email]","166","0.892296566888767","GET"
"mixed_small_10_run2","mixed_small_10_run2_stats.csv","1300","980","1000","1000","1000","1100","1100","1300","1300","1300","1300","56.0","1000.1824222218366","0","0.0","1344.8401000059675","980","896.0249999945518","POST /auth/login","81","0.4353977223975309","POST"
"mixed_small_10_run2","mixed_small_10_run2_stats.csv","3600","3300","3400","3400","3600","3600","3600","3600","3600","3600","3600","65.0","3204.6070699987467","0","0.0","3628.208200010704","3200","2767.9691999801435","POST /auth/signup [setup]","10","0.05375280523426307","POST"
"mixed_small_10_run2","mixed_small_10_run2_stats.csv","4300","2800","2900","2900","2900","3000","3200","3400","3400","4300","4300","1129.0","2804.247125462054","0","0.0","4303.015500016045","2800","2309.260199981509","POST /user/[email]/description","271","1.4567010218485292","POST"
"mixed_small_10_run2","mixed_small_10_run2_stats.csv","6300","2500","2700","2800","2900","3000","3200","3400","3600","6300","6300","896.3314500941619","1937.0965800382808","0","0.0","6308.436200022697","2500","698.4393000020646","Aggregated","531","2.854273957939369",""
"mixed_small_10_run3","mixed_small_10_run3_stats.csv","6900","6600","6700","6700","6700","6900","6900","6900","6900","6900","6900","65.0","6493.191662499157","0","0.0","6872.627700009616","6500","6071.687999996357","DELETE /user/[email] [cleanup]","8","0.042873137180007834","DELETE"
"mixed_small_10_run3","mixed_small_10_run3_stats.csv","1100","790","820","830","860","900","910","980","1000","1100","1100","975.9337016574585","809.7094016574781","0","0.0","1051.3694999972358","790","703.5411999968346","GET /user/[email]","181","0.9700047286976772","GET"
"mixed_small_10_run3","mixed_small_10_run3_stats.csv","1200","990","1000","1000","1000","1100","1100","1100","1100","1200","1200","56.0","997.9319781789937","0","0.0","1165.5276000092272","990","906.9964999798685","POST /auth/login","110","0.5895056362251077","POST"
"mixed_small_10_run3","mixed_small_10_run3_stats.csv","3500","3200","3300","3300","3500","3500","3500","3500","3500","3500","3500","65.0","3115.071440007887","0","0.0","3456.5092000120785","3100","2704.9036000098567","POST /auth/signup [setup]","10","0.05359142147500979","POST"
"mixed_small_10_run3","mixed_small_10_run3_stats.csv","3300","2700","2800","2800","2900","3000","3000","3100","3200","3300","3300","1129.0","2734.9151980315655","0","0.0","3304.1308999818284","2700","2302.902900002664","POST /user/[email]/description","254","1.3612221054652487","POST"
"mixed_small_10_run3","mixed_small_10_run3_stats.csv","6900","1100","2700","2700","2800","2900","3000","3300","6300","6900","6900","836.1278863232682","1836.7577749552088","0","0.0","6872.627700009616","1100","703.5411999968346","Aggregated","563","3.017197029043051",""
"mixed_small_15_run1","mixed_small_15_run1_stats.csv","11000","10000","10000","10000","10000","11000","11000","11000","11000","11000","11000","65.0","9930.82814666753","0","0.0","10801.65570002282","10000","7966.880399995716","DELETE /user/[email] [cleanup]","15","0.07871871693151873","DELETE"
"mixed_small_15_run1","mixed_small_15_run1_stats.csv","1200","870","910","930","950","1000","1000","1100","1200","1200","1200","990.3724696356276","882.7125991900594","0","0.0","1228.1697999860626","870","730.8305000187829","GET /user/[email]","247","1.2962348721390085","GET"
"mixed_small_15_run1","mixed_small_15_run1_stats.csv","1300","1100","1100","1100","1100","1200","1200","1300","1300","1300","1300","56.0","1065.3970936164244","0","0.0","1326.6765999724157","1100","925.7922999968287","POST /auth/login","141","0.739955939156276","POST"
"mixed_small_15_run1","mixed_small_15_run1_stats.csv","4500","3900","3900","4100","4100","4200","4500","4500","4500","4500","4500","65.0","3814.0654533325383","0","0.0","4465.446099988185","3900","3332.0313000003807","POST /auth/signup [setup]","15","0.07871871693151873","POST"
"mixed_small_15_run1","mixed_small_15_run1_stats.csv","4000","3000","3100","3200","3300","3500","3600","3800","3800","4000","4000","1129.0","3041.087443395684","0","0.0","4032.6395999873057","3000","2293.9130000013392","POST /user/[email]/description","371","1.946976265439563","POST"
"mixed_small_15_run1","mixed_small_15_run1_stats.csv","11000","2400","2900","3000","3100","3400","3700","4500","10000","11000","11000","853.3929024081116","2158.0074115331563","0","0.0","10801.65570002282","2400","730.8305000187829","Aggregated","789","4.140604510597885",""
